Entity_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Synonyms,Synonym_To_Display,Preferred_Abbreviation,SuperTypeEntity_ID,Num_SuperTypeEntity_ID,Engineering_Strategy,Owner,Entity_Source
"Academias",9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,8,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Ciudades",EEFD1DF7-E3F4-7C9F-CE8D-E1FA1D37C35F,73,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Comunas",246F5EF8-BBA8-87A7-9DE4-B58E405DBBDF,74,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Contratos",AB35E3C6-D9E2-46A8-2C3B-63D329EF702E,75,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Directores",9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,9,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Estado_Civil",DE5E7A65-C5A0-2E76-D276-A4772A990F15,77,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Formularios",AC114B13-23FC-55DD-5B88-57193533EB5C,78,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Inversiones",509C0FBC-865B-DFE3-FAFB-1A81DB3CBD3A,79,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Nacionalidad",452F84BE-CACC-F8E6-3909-C558A0D428DF,80,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Nacionalidad_Directores",C4DD189D-10EF-9620-D0EB-84AD67399FD6,81,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Pagos",464A981A-F12C-26BB-CCE7-DC4E01068D08,82,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Profesion_Director",08F4FDFF-C92A-B964-2AA9-02FE9E3C14FD,83,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Profesion_Profesor",B1B472FD-A925-68BD-760B-9AB238F50423,84,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Profesiones",403B712B-087C-B020-F636-C6D309EDFFBC,85,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Profesiones2",F18ED2E0-5D76-A71C-7CBF-685830F0EAFB,86,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Profesores",17DE6C2E-6005-7B13-5800-A620E8618F5E,87,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Recursos",13A884EF-F564-651F-1714-1A3C8E365F00,88,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Regiones",E8A5305B-1424-5823-CCC5-B327EEA15A93,89,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Tipo_1",8D508746-65E3-14D4-62AA-254EA7E1A321,90,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Tipo_2",5B629C47-4C1D-EDC1-678A-5A48CB0CCA50,91,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Tipo_3",FB4B01AE-2D9D-7DAB-B92F-D8B72DD261D4,92,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Tipo_Academia",B16E7C69-34A2-D322-9737-75E898590D37,93,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Tipo_Contrato",B7D034E2-AB0C-B9E1-DE7A-FFC5E0EF6CE3,94,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Tipo_Inversion",033E4972-7183-2454-4B14-9FD4E4A5794C,95,,FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
